v_FF1,a_FF1,t_FF1,v_FF2,a_FF2,t_FF2,v_FF3,a_FF3,t_FF3,v_FN1,a_FN1,t_FN1,v_FN2,a_FN2,t_FN2,v_FN3,a_FN3,t_FN3,v_FV1,a_FV1,t_FV1,v_FV2,a_FV2,t_FV2,v_FV3,a_FV3,t_FV3,v_SF1,a_SF1,t_SF1,v_SF2,a_SF2,t_SF2,v_SF3,a_SF3,t_SF3,v_SN1,a_SN1,t_SN1,v_SN2,a_SN2,t_SN2,v_SN3,a_SN3,t_SN3,v_SV1,a_SV1,t_SV1,v_SV2,a_SV2,t_SV2,v_SV3,a_SV3,t_SV3,age
2.4777990579605103,1.300029993057251,0.38713130354881287,2.443705916404724,2.141324281692505,0.391631543636322,1.9155916571617126,2.073351740837097,0.4227146804332733,3.5832247734069824,1.4316396713256836,0.4216521382331848,3.1615700721740723,1.907998502254486,0.3808881491422653,3.7462570667266846,2.7982170581817627,0.4722363203763962,2.3090932369232178,1.9230904579162598,0.4843054562807083,3.0165717601776123,1.2868464589118958,0.5320123732089996,2.4812352657318115,1.507328987121582,0.569219321012497,0.8898349404335022,6.199166536331177,1.1893904209136963,0.5108267068862915,4.556187152862549,1.4207528829574585,0.26986974477767944,3.4375932216644287,0.44702182710170746,0.5059839487075806,3.897935628890991,1.4615726470947266,0.7284568548202515,3.735486149787903,0.6756709516048431,1.271295964717865,4.431881666183472,1.1113364100456238,1.0882508754730225,3.811711549758911,1.0754531025886536,0.7849580645561218,3.9835875034332275,1.3884621262550354,0.7631725072860718,4.681546449661255,1.5688857436180115,58
3.364353656768799,1.1643693447113037,0.38309146463871,2.584674119949341,1.3842934966087341,0.3988475203514099,3.4976531267166138,1.2031114101409912,0.36874423921108246,3.712995767593384,1.2395124435424805,0.37623341381549835,4.141578912734985,1.0641441345214844,0.4028524309396744,3.668850541114807,1.231144368648529,0.41690807044506073,1.8839925527572632,1.616611123085022,0.5247951447963715,1.586677074432373,1.5100500583648682,0.4563310593366623,3.4404783248901367,1.9964334964752197,0.3973575383424759,0.8866484761238098,4.072897672653198,1.1188993453979492,0.6356762051582336,2.6508617401123047,1.2267125844955444,0.38822007179260254,2.785234570503235,0.8869380056858063,0.9729591012001038,4.836349725723267,0.9473823308944702,0.6825958490371704,3.2678338289260864,0.8770347833633423,0.9457211494445801,4.766671657562256,0.7028959095478058,1.2545542120933533,3.2233448028564453,0.6287777125835419,0.7588329315185547,3.274325966835022,1.1369657516479492,0.758344292640686,3.6068551540374756,1.6695278882980347,42
2.6285804510116577,1.2154337167739868,0.3795163631439209,1.953167200088501,1.7814679741859436,0.39559075236320496,3.587944746017456,1.6485650539398193,0.3373431861400604,3.6981334686279297,1.1750862002372742,0.35874177515506744,4.861882448196411,1.420460045337677,0.32326577603816986,5.12774658203125,1.1211727261543274,0.4989030063152313,2.3252464532852173,1.6009877920150757,0.48062941431999207,2.813532590866089,1.6614226698875427,0.45169976353645325,2.092215061187744,1.5045350790023804,0.43711957335472107,0.9341907501220703,4.066267490386963,0.9445275962352753,0.596881628036499,4.671984672546387,0.7143960893154144,0.6858113408088684,4.33641242980957,0.36143600940704346,0.7984379529953003,6.954946756362915,0.5035724937915802,1.2498859763145447,2.971574544906616,0.5950212776660919,1.2560900449752808,3.583716630935669,0.8218331038951874,1.0156028270721436,3.345779776573181,1.0673730373382568,0.8102197051048279,3.7832125425338745,0.9614285230636597,0.8680880069732666,3.652034640312195,1.4128535985946655,56
2.7404987812042236,1.2490131855010986,0.412813663482666,3.842064142227173,2.444999933242798,0.21034573763608932,2.598180413246155,1.5177013278007507,0.3676462322473526,3.440561294555664,1.2870908975601196,0.38958071172237396,3.828688144683838,1.61516934633255,0.40308159589767456,2.348106861114502,1.2485659718513489,0.45980440080165863,2.3915412425994873,2.007891893386841,0.5022847652435303,1.896908462047577,1.9076979160308838,0.5518938601016998,2.065691828727722,1.3711192607879639,0.5052117109298706,0.9001312255859375,3.795769691467285,0.7241503298282623,0.40848469734191895,4.629584312438965,1.5395161509513855,0.668422520160675,3.276878237724304,0.8467220366001129,0.7157740592956543,4.309175729751587,1.42079359292984,0.7201242446899414,4.108532190322876,0.5628171265125275,0.8110004663467407,3.7969921827316284,1.3645065426826477,1.265944004058838,5.1070849895477295,1.016203761100769,1.1382415890693665,3.810147762298584,1.4168950915336609,0.8904240131378174,4.19990348815918,1.518026053905487,41
2.601246476173401,0.7759457230567932,0.31331580877304077,3.5058196783065796,0.9434072971343994,0.3713502287864685,3.071322441101074,0.8556632399559021,0.28314054012298584,3.547832727432251,0.8992864787578583,0.3646080642938614,2.682491898536682,1.0125640034675598,0.31860554218292236,3.584033966064453,1.361772894859314,0.37990032136440277,2.4537729024887085,1.1292524933815002,0.5331689119338989,1.6486529111862183,0.7238030433654785,0.46309924125671387,2.234567403793335,0.9925841093063354,0.42827461659908295,1.3530073165893555,3.05475115776062,0.7129029035568237,0.6612896919250488,1.7788530588150024,0.8571129739284515,0.7065306901931763,2.668297052383423,0.6977597177028656,0.7274258136749268,1.6044021248817444,0.4642569124698639,0.9437594413757324,3.070842981338501,0.8185418248176575,0.7394183874130249,2.647728681564331,0.744715005159378,1.133859097957611,3.02885365486145,0.8639674484729767,0.7975274324417114,3.396867036819458,1.2237398624420166,0.8371121287345886,3.207353115081787,1.4989887475967407,20
2.824796676635742,0.7752248644828796,0.3946315795183182,3.796007990837097,1.1570875644683838,0.36399519443511963,3.9326893091201782,1.0456204414367676,0.36791567504405975,7.085529804229736,2.5419414043426514,0.318479061126709,4.364757776260376,1.0357665419578552,0.3712635636329651,2.4519920349121094,1.0772820115089417,0.4490470886230469,2.8499715328216553,1.0369537472724915,0.4577252268791199,4.419175863265991,1.0099173784255981,0.4395025670528412,3.261967182159424,1.036266803741455,0.4428633153438568,0.8718934059143066,3.0616390705108643,0.8875406086444855,0.4967121481895447,2.19507372379303,0.5406932234764099,0.27406781911849976,1.7802811861038208,0.775538295507431,0.817218542098999,1.6587117314338684,0.5767114758491516,0.483626127243042,1.9004738926887512,0.8172526061534882,0.6718270778656006,2.475131869316101,1.0467936396598816,1.4218603372573853,2.0683393478393555,0.8839602768421173,1.4705477952957153,2.21973979473114,1.2942798137664795,0.8361411690711975,2.5678919553756714,1.294793426990509,27
3.7180477380752563,0.9124606847763062,0.3814253807067871,2.2166647911071777,2.135541081428528,0.3429096043109894,3.8747503757476807,1.0769214034080505,0.36968718469142914,3.8272225856781006,1.254000723361969,0.3624298870563507,5.2737226486206055,1.3508549332618713,0.3290657699108124,4.794660568237305,1.8308032155036926,0.39888742566108704,3.119217038154602,2.804680585861206,0.43920354545116425,2.872785449028015,2.604564666748047,0.45668767392635345,2.910706877708435,2.0214844942092896,0.4806908965110779,1.45393705368042,3.891526222229004,1.0964967012405396,0.6404366493225098,5.811665773391724,2.200414538383484,0.5709397196769714,3.391945004463196,1.0076425671577454,1.0452834367752075,6.680473804473877,1.2696991562843323,1.3459116220474243,2.9257935285568237,0.7620269954204559,2.4724156856536865,6.997147560119629,0.7187252640724182,1.5850579738616943,4.012345314025879,0.9390880465507507,0.8798738121986389,4.012881278991699,1.4327319860458374,1.243934988975525,5.807668209075928,1.3507904410362244,29
2.222248077392578,1.6593449115753174,0.32317717373371124,1.9572678208351135,1.4792182445526123,0.36459536850452423,3.298181176185608,1.9104548692703247,0.3257264345884323,4.811236143112183,3.2726539373397827,0.2536366879940033,2.9807029962539673,1.539292573928833,0.3939366936683655,5.3434739112854,4.096679925918579,0.3588859438896179,2.404612898826599,2.892267942428589,0.3550189733505249,2.177066445350647,1.5544528365135193,0.47680406272411346,2.6824333667755127,1.3666866421699524,0.5633692443370819,0.9478927254676819,4.187484502792358,0.8549865186214447,0.3857817053794861,4.358497142791748,1.1461790204048157,0.535580575466156,3.5973955392837524,0.6057555973529816,0.6536262035369873,4.514512300491333,0.7627730369567871,0.9858340620994568,3.9573787450790405,0.785719245672226,0.9259428381919861,3.637845277786255,1.121498167514801,0.8290536403656006,5.183429479598999,0.92509725689888,0.8186374306678772,4.306015491485596,1.4802093505859375,0.9733516573905945,4.608553647994995,1.7911606431007385,43
2.7508405447006226,1.0905084609985352,0.3581698536872864,3.0722427368164062,1.5767025351524353,0.34753891825675964,4.098113536834717,1.0577637553215027,0.36399170756340027,4.469761610031128,1.4610620737075806,0.31446804106235504,3.649595022201538,0.931484580039978,0.3517315834760666,3.2907421588897705,1.3474294543266296,0.38486623764038086,2.5607376098632812,1.6215877532958984,0.43456999957561493,3.1860861778259277,1.0251301527023315,0.4701702147722244,5.15838885307312,2.312883496284485,0.4404524862766266,1.2524831295013428,3.8403077125549316,0.862724781036377,0.5052987933158875,4.311192989349365,1.8902161121368408,0.5757363438606262,3.985321879386902,0.7834776043891907,0.7907776832580566,6.4824018478393555,0.8783813714981079,0.8801729083061218,3.2062689065933228,0.5975675284862518,1.30921471118927,2.8813629150390625,0.9718005061149597,1.3248069882392883,2.8717845678329468,0.6096847653388977,1.000037670135498,4.246066331863403,0.917721152305603,1.21638685464859,3.3178353309631348,1.167848289012909,26
2.4926486015319824,0.9369238913059235,0.3479642868041992,3.9865972995758057,0.8630595803260803,0.3153877556324005,3.2084840536117554,1.1117634177207947,0.30364081263542175,3.450070858001709,1.0830565690994263,0.33179937303066254,3.1030850410461426,0.8603832423686981,0.3883427679538727,2.8050769567489624,1.0151249766349792,0.3754837065935135,3.1782256364822388,1.3299328684806824,0.4028558284044266,2.537254810333252,1.2131942510604858,0.4081460237503052,3.6797807216644287,1.7269452214241028,0.3907339721918106,0.8527485728263855,3.98615300655365,0.9650216698646545,0.6447208523750305,2.887300729751587,0.8339521586894989,0.759013295173645,2.5988316535949707,0.759446531534195,0.6767878532409668,2.414233446121216,0.6958483457565308,0.9793996214866638,2.012270927429199,0.6287441551685333,0.9261456727981567,2.3978344202041626,1.0478960871696472,1.2701899409294128,3.655768036842346,0.321958526968956,1.4110720753669739,2.2350120544433594,1.106009840965271,0.8401342034339905,2.4215089082717896,1.371715009212494,29
