v_FF1,a_FF1,t_FF1,selfex_FF1,v_FF2,a_FF2,t_FF2,selfex_FF2,v_FF3,a_FF3,t_FF3,selfex_FF3,v_FN1,a_FN1,t_FN1,selfex_FN1,v_FN2,a_FN2,t_FN2,selfex_FN2,v_FN3,a_FN3,t_FN3,selfex_FN3,v_FV1,a_FV1,t_FV1,selfex_FV1,v_FV2,a_FV2,t_FV2,selfex_FV2,v_FV3,a_FV3,t_FV3,selfex_FV3,v_SF1,a_SF1,t_SF1,selfex_SF1,v_SF2,a_SF2,t_SF2,selfex_SF2,v_SF3,a_SF3,t_SF3,selfex_SF3,v_SN1,a_SN1,t_SN1,selfex_SN1,v_SN2,a_SN2,t_SN2,selfex_SN2,v_SN3,a_SN3,t_SN3,selfex_SN3,v_SV1,a_SV1,t_SV1,selfex_SV1,v_SV2,a_SV2,t_SV2,selfex_SV2,v_SV3,a_SV3,t_SV3,selfex_SV3,age
2.4535112380981445,1.9758835434913635,0.3388728052377701,3.060396194458008,2.392340898513794,2.6921242475509644,0.34798766672611237,1.0245063304901123,2.04782497882843,2.7394479513168335,0.3359217643737793,0.7382934093475342,3.758947014808655,3.516837954521179,0.33918994665145874,4.1400487422943115,2.9224246740341187,4.623143672943115,0.2561493515968323,3.2590408325195312,3.267557740211487,4.998096942901611,0.3753964751958847,2.1855417490005493,2.2557549476623535,2.7151331901550293,0.4264383316040039,1.640073299407959,2.7459375858306885,2.9009138345718384,0.4580080807209015,5.131389856338501,2.400096297264099,3.6435117721557617,0.45894843339920044,3.8582574129104614,0.8098131418228149,7.324925899505615,1.0124704837799072,0.09101033210754395,0.5279588103294373,8.328680515289307,1.2788693308830261,0.3603036403656006,0.21844863891601562,4.223927974700928,0.32257191836833954,0.2637906074523926,0.5438873171806335,8.33683156967163,0.959181398153305,0.4382796287536621,0.6679750084877014,5.2688188552856445,0.38822297751903534,0.2824687957763672,1.3338667154312134,8.315833568572998,0.7301701307296753,0.4964151382446289,1.0972319841384888,7.925840377807617,0.6349528431892395,0.5967497825622559,0.7382749915122986,6.73424768447876,0.8322825729846954,0.2863740921020508,0.7102639079093933,7.357141733169556,1.082900583744049,0.20926332473754883,58
3.1037620306015015,3.6882455348968506,0.2999865263700485,7.265105247497559,2.55763840675354,2.176258683204651,0.35205791890621185,3.1477928161621094,3.2193427085876465,3.6697793006896973,0.28296181559562683,6.715327501296997,3.503337860107422,3.7229561805725098,0.294526070356369,6.542085886001587,3.829161047935486,3.272237777709961,0.3229302167892456,7.53200626373291,3.349472403526306,3.416119933128357,0.3319507986307144,6.090219020843506,1.9887710213661194,4.156916379928589,0.3507782220840454,2.7452192306518555,1.57968008518219,3.2009092569351196,0.3357846289873123,3.001170039176941,3.2609853744506836,5.523925065994263,0.28448474407196045,3.9612677097320557,0.8171830177307129,6.284595966339111,0.9515941143035889,0.46198415756225586,0.7486869096755981,8.072556972503662,0.7925273478031158,1.1754403114318848,0.41196954250335693,4.558031320571899,0.5833043456077576,0.618023157119751,0.9360097050666809,7.6608405113220215,0.6129141449928284,0.32065320014953613,0.6619556546211243,4.814302921295166,0.6467921137809753,0.4557180404663086,0.8787007927894592,7.419052600860596,0.6657045185565948,0.5067391395568848,1.2244650721549988,4.287796974182129,0.5764955282211304,0.7243516445159912,0.7905406355857849,6.166790008544922,0.8964688777923584,0.6935346126556396,0.7209478616714478,6.747622966766357,1.1122161746025085,0.397167444229126,42
2.479518175125122,2.557831645011902,0.3135617971420288,5.240889310836792,2.1575489044189453,2.3637120723724365,0.308745414018631,0.7479057312011719,3.517488718032837,3.0395965576171875,0.27506503462791443,3.489044427871704,3.664001226425171,3.471709966659546,0.26726527512073517,5.944748878479004,4.779165506362915,4.886704683303833,0.2206273302435875,6.056368589401245,4.872394800186157,4.051840782165527,0.41718627512454987,8.204240798950195,2.6080108880996704,2.1401429176330566,0.43052347004413605,1.2399872541427612,2.8505122661590576,4.742904186248779,0.31016573309898376,3.481604218482971,2.2901586294174194,1.9901556372642517,0.39204250276088715,1.8718804121017456,0.9116411209106445,6.622714042663574,0.5307461023330688,0.3382554054260254,0.5701807737350464,6.247955560684204,0.49595093727111816,0.2176523208618164,0.6214701533317566,5.251090049743652,0.38870254158973694,0.26530909538269043,0.7228177189826965,6.784353494644165,0.6184317469596863,0.005634307861328125,1.2539488673210144,5.362457990646362,0.26223689317703247,0.7266795635223389,1.1740487217903137,4.512309312820435,0.8009310662746429,0.5792121887207031,1.0278407335281372,5.057067155838013,0.7459127306938171,0.389911413192749,0.7857826352119446,5.743994951248169,0.7252386212348938,0.4125211238861084,0.8714840412139893,6.174728631973267,1.0589072704315186,0.4667785167694092,56
2.6860159635543823,4.316484689712524,0.2930876761674881,5.616042375564575,3.3533700704574585,2.9733238220214844,0.19932834804058075,2.470636248588562,2.6100367307662964,2.7133044004440308,0.30260176956653595,3.3011057376861572,3.192823886871338,3.9616695642471313,0.30495163798332214,6.6827099323272705,3.559180974960327,5.278701066970825,0.2813525050878525,4.970417499542236,2.2032456398010254,2.371717691421509,0.3971126824617386,4.533203363418579,2.1796960830688477,2.8391510248184204,0.4551135450601578,2.0780047178268433,1.7635595202445984,2.845057964324951,0.4914325475692749,1.9230965375900269,2.0887778997421265,1.8291882276535034,0.47210414707660675,2.497720718383789,0.8865336179733276,5.763443470001221,0.4693673551082611,0.3985159397125244,0.39981019496917725,6.867500066757202,1.3638102412223816,0.2264857292175293,0.7001720070838928,6.94840931892395,0.4586084187030792,0.6923806667327881,0.7083268165588379,8.146618843078613,0.9069653451442719,0.3501753807067871,0.6560578346252441,5.12655782699585,0.39173370599746704,0.18355894088745117,0.800531804561615,6.856926918029785,1.0312309861183167,0.5169720649719238,1.1351044178009033,7.430212020874023,0.7588030099868774,0.3505561351776123,1.1268926858901978,6.36394476890564,1.0179458856582642,0.3974008560180664,0.8631160259246826,5.3477561473846436,1.4559929966926575,0.23853230476379395,41
2.569881796836853,1.0086479187011719,0.2844240814447403,5.978215217590332,3.574930191040039,4.764634370803833,0.24677172303199768,8.02235460281372,2.941440224647522,1.0889352560043335,0.272066205739975,7.427541494369507,3.4007829427719116,1.5677753686904907,0.3258040100336075,7.47188663482666,2.591089129447937,2.4775352478027344,0.24869723618030548,7.056382656097412,3.3183209896087646,3.9226510524749756,0.31476905941963196,7.0400710105896,2.3188087940216064,2.295018196105957,0.47578947246074677,5.735333681106567,1.7029629349708557,0.9116426408290863,0.44459956884384155,6.825320720672607,2.0871269702911377,1.1985591650009155,0.4184831976890564,4.575769424438477,1.3196948170661926,4.53402304649353,0.5309078991413116,0.6632645130157471,0.6571467518806458,2.8131508827209473,0.7485383749008179,1.7332040071487427,0.6755387187004089,3.964709997177124,0.5436651408672333,0.7798032760620117,0.649233341217041,1.939073383808136,0.4163677543401718,1.4326744079589844,0.9429712891578674,5.094071626663208,0.5390384197235107,0.6207907199859619,0.7096647024154663,2.9964815378189087,0.7319809198379517,0.4902064800262451,1.0759714245796204,5.78469181060791,0.6552201807498932,0.9701600074768066,0.8024022579193115,4.900878429412842,1.1122291684150696,0.5505707263946533,0.7639777660369873,5.221621751785278,1.2807957530021667,0.5435292720794678,20
2.6751203536987305,0.9597164988517761,0.3822096288204193,6.92050313949585,3.6700979471206665,3.6792447566986084,0.26515309512615204,6.014981508255005,3.9749797582626343,5.186546802520752,0.24413961172103882,7.674835681915283,5.807966470718384,6.199342727661133,0.242256760597229,6.101606607437134,4.189997673034668,3.6433520317077637,0.29011237621307373,8.239072322845459,2.247524857521057,2.3403955698013306,0.3839568942785263,6.124351978302002,2.7548781633377075,1.9976264834403992,0.41908344626426697,7.186304092407227,4.1379005908966064,2.6629797220230103,0.3833921253681183,8.277698040008545,3.6586049795150757,7.113028049468994,0.27777068316936493,7.2455830574035645,0.8751952052116394,6.556440830230713,0.607182502746582,0.9327504634857178,0.4720388650894165,4.587405204772949,0.32115040719509125,1.5108479261398315,0.224828839302063,4.358809471130371,0.5362390279769897,2.091643452644348,0.780245840549469,2.5645828247070312,0.48073336482048035,1.9240152835845947,0.5340849757194519,2.5502119064331055,0.7122153639793396,1.0707926750183105,0.6297367215156555,5.475456714630127,0.8445784449577332,1.3587812185287476,1.4299940466880798,2.204352617263794,0.8859167397022247,0.6381702423095703,1.4122191667556763,3.424197196960449,1.195533812046051,1.3408132791519165,0.8036954402923584,3.6114253997802734,1.2382797598838806,0.9510893821716309,27
3.864076018333435,4.054781436920166,0.2808721661567688,8.682307720184326,2.2805789709091187,2.878046154975891,0.26247715950012207,0.8410844802856445,4.126516342163086,3.1894772052764893,0.28075800836086273,5.897516250610352,4.401830673217773,4.8256001472473145,0.238526813685894,4.770384311676025,5.286446571350098,5.096613883972168,0.22895700484514236,6.747844457626343,4.326003074645996,5.039240121841431,0.2921455651521683,4.635695695877075,2.691991090774536,3.609622359275818,0.3957875967025757,1.4226747751235962,2.6365389823913574,3.854101777076721,0.37478725612163544,1.3799482583999634,2.597188711166382,3.5926668643951416,0.39738211035728455,2.58758008480072,1.3786435723304749,7.214723587036133,0.7512600123882294,0.6277115345001221,0.5681195259094238,9.290400981903076,1.8723898530006409,0.23966479301452637,0.5980308651924133,6.691186904907227,0.5781310200691223,0.5223410129547119,0.9189019203186035,7.796818733215332,1.0001462697982788,0.09027242660522461,1.3332139253616333,5.0614025592803955,0.5339251458644867,0.7824819087982178,2.1863433122634888,8.540590286254883,0.5897705852985382,0.34586215019226074,1.5581552982330322,6.740068197250366,0.6241330504417419,0.4939916133880615,0.9175825715065002,6.955692768096924,1.1225979924201965,0.4164762496948242,1.0743610262870789,7.168276786804199,1.2841607928276062,0.30147480964660645,29
2.2502636909484863,3.3256813287734985,0.23021414875984192,3.0493141412734985,1.9448306560516357,3.015578269958496,0.27638474106788635,3.519445300102234,2.8582324981689453,2.968632221221924,0.26976969838142395,3.2398072481155396,4.110744476318359,5.499258279800415,0.18276091665029526,2.5674386024475098,2.938013195991516,2.73340904712677,0.3245384395122528,3.0625303983688354,4.1877429485321045,6.6670403480529785,0.28206267952919006,2.4106194972991943,2.420494794845581,3.8399945497512817,0.3047279268503189,1.094822883605957,2.1503875255584717,4.464715957641602,0.3189345747232437,3.4396389722824097,2.4939584732055664,3.1116496324539185,0.48645806312561035,4.807136535644531,0.8473656177520752,5.901638746261597,0.8193682134151459,0.5001335144042969,0.4005316495895386,6.671811819076538,0.8933407962322235,0.248091459274292,0.459100604057312,4.626084089279175,0.6487956941127777,0.3811671733856201,0.6395611763000488,7.724997520446777,0.7786269187927246,0.4899253845214844,0.97330242395401,5.6185667514801025,0.4831639230251312,0.27805233001708984,0.9543125033378601,8.11029577255249,0.8462852537631989,0.8411962985992432,0.7699313759803772,5.82604455947876,0.8841657638549805,0.128495454788208,0.7585752606391907,6.006815671920776,1.161386489868164,0.23544740676879883,0.9242147207260132,6.926030397415161,1.6514517664909363,0.36100077629089355,43
2.7091232538223267,2.430514335632324,0.2945931851863861,6.22210693359375,2.926423192024231,2.974837303161621,0.2708485275506973,3.187903642654419,4.058051109313965,3.8948745727539062,0.278022438287735,8.07040023803711,4.173137664794922,4.8113579750061035,0.21328119933605194,6.1431474685668945,3.5769013166427612,2.1354323625564575,0.29570621252059937,7.638357877731323,3.2079025506973267,2.971906065940857,0.3102418929338455,4.471118688583374,2.5960124731063843,2.528356194496155,0.3758895695209503,2.414214253425598,3.042369246482849,2.9187036752700806,0.4030778259038925,8.077489376068115,4.515701770782471,6.061069965362549,0.33752070367336273,4.173224925994873,1.1875693202018738,6.069361686706543,0.6136273145675659,0.5418708324432373,0.49824345111846924,8.130144119262695,1.5788548588752747,0.413616418838501,0.5597572326660156,6.3114333152771,0.34899380803108215,0.29268765449523926,0.7205869555473328,7.575140714645386,1.0136591792106628,0.13435840606689453,0.8538042306900024,4.782429456710815,0.27588021755218506,0.4209635257720947,1.2819126844406128,4.383234977722168,0.7950242161750793,0.781937837600708,1.3473105430603027,3.9808727502822876,0.5529637932777405,0.7976579666137695,0.9588858485221863,6.616232872009277,0.5466708838939667,0.33742737770080566,1.2310901880264282,5.515006065368652,1.0008801221847534,0.7298548221588135,26
2.342785596847534,1.459936499595642,0.31202489137649536,6.244950771331787,4.088863372802734,2.4907480478286743,0.24923832714557648,8.697893619537354,2.808485984802246,1.9521941542625427,0.2840413600206375,8.040430545806885,3.353610396385193,3.6682153940200806,0.2551752179861069,8.094280242919922,2.9309306144714355,1.4074479341506958,0.35550323128700256,7.73283052444458,2.561063766479492,1.5109840035438538,0.34913796186447144,6.150479078292847,2.983359456062317,5.300266742706299,0.28257083892822266,6.4596991539001465,2.3327488899230957,2.138647675514221,0.36758561432361603,5.451788902282715,3.532825469970703,5.973361492156982,0.24736985564231873,4.4618449211120605,0.7942720055580139,5.571443319320679,0.7588220834732056,0.3460392951965332,0.6077980995178223,5.121096849441528,0.5078566372394562,0.6906535625457764,0.7319158911705017,4.3486597537994385,0.5842450559139252,0.9647433757781982,0.6206584572792053,5.699120759963989,0.4333772212266922,1.4135907888412476,1.0115677118301392,2.7165685892105103,0.5147749781608582,1.0320687294006348,0.9043484330177307,2.9547746181488037,0.9988115727901459,0.7009594440460205,1.2030184864997864,4.849258184432983,0.19532666355371475,0.49598193168640137,1.35928213596344,3.0256435871124268,1.0701379179954529,1.294499397277832,0.8322885036468506,2.856626510620117,1.33905827999115,0.6499149799346924,29
