pp block trl_number cat_correct resp acc RT
1001 test 89 1 1 1 1492
1001 test 90 1 1 1 2379
1001 test 91 2 2 1 3700
1001 test 92 1 1 1 1683
1001 test 93 1 1 1 2507
1001 test 94 1 1 1 2732
1001 test 95 1 1 1 2428
1001 test 96 1 1 1 2419
1001 test 97 2 2 1 1595
1001 test 98 1 1 1 2444
1001 test 99 2 2 1 2379
1001 test 100 2 2 1 2924
1002 practice 0 1 1 1 2980
1002 practice 0 2 2 1 4622
1002 practice 0 2 2 1 7408
1002 practice 0 1 1 1 2999
1002 test 0 1 1 1 2364
1002 test 1 2 2 1 3498
1002 test 2 1 1 1 3252
1002 test 3 2 2 1 2651
1002 test 4 1 2 0 5939
1002 test 5 1 1 1 5564
1002 test 6 1 1 1 3003
1002 test 7 1 1 1 1603
1002 test 8 2 2 1 2523
1002 test 9 2 1 0 3267
1002 test 10 1 1 1 3292
1002 test 11 2 2 1 4932
1002 test 12 1 1 1 2707
1002 test 13 1 1 1 2252
1002 test 14 2 2 1 1995
1002 test 15 2 2 1 3956
1002 test 16 1 1 1 4114
1002 test 17 1 1 1 2244
1002 test 18 2 2 1 4291
1002 test 19 2 2 1 2780
1002 test 20 2 2 1 9781
1002 test 21 1 1 1 3339
1002 test 22 2 2 1 2467
1002 test 23 1 1 1 2595
1002 test 24 2 2 1 2428
1002 test 25 2 2 1 3228
1002 test 26 2 2 1 2749
1002 test 27 1 1 1 2716
1002 test 28 1 1 1 2612
1002 test 29 1 1 1 2475
1002 test 30 1 1 1 2147
1002 test 31 2 2 1 2539
1002 test 32 2 2 1 2372
1002 test 33 1 1 1 3420
1002 test 34 2 2 1 1909
1002 test 35 1 1 1 2277
1002 test 36 1 1 1 3267
1002 test 37 1 1 1 1779
1002 test 38 1 1 1 1356
1002 test 39 1 1 1 2082
1002 test 40 1 1 1 2028
1002 test 41 2 2 1 6667
1002 test 42 1 1 1 1963
1002 test 43 2 2 1 3755
1002 test 44 2 2 1 3510
1002 test 45 2 2 1 2739
1002 test 46 1 1 1 2340
1002 test 47 2 2 1 1627
1002 test 48 2 2 1 1762
1002 test 49 2 2 1 8027
1002 test 50 2 2 1 2380
1002 test 51 2 2 1 3116
1002 test 52 1 1 1 2323
1002 test 53 2 2 1 1556
1002 test 54 1 1 1 2356
