pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 3580
1000 practice 0 2 2 1 3933
1000 practice 0 1 1 1 2118
1000 practice 0 2 2 1 1974
1000 test 0 2 2 1 2797
1000 test 1 2 2 1 2836
1000 test 2 2 2 1 2739
1000 test 3 2 2 1 2659
1000 test 4 2 2 1 3033
1000 test 5 1 1 1 2818
1000 test 6 2 2 1 2514
1000 test 7 1 1 1 2169
1000 test 8 2 2 1 3004
1000 test 9 1 2 0 3524
1000 test 10 1 1 1 1995
1000 test 11 2 2 1 3467
1000 test 12 1 1 1 4091
1000 test 13 2 2 1 3684
1000 test 14 1 2 0 4323
1000 test 15 1 2 0 4963
1000 test 16 2 2 1 2205
1000 test 17 1 1 1 4643
1000 test 18 1 1 1 4940
1000 test 19 2 2 1 2555
1000 test 20 1 1 1 2134
1000 test 21 1 1 1 2115
1000 test 22 1 1 1 1828
1000 test 23 1 1 1 1885
1000 test 24 1 1 1 2211
1000 test 25 1 1 1 2227
1000 test 26 2 2 1 3091
1000 test 27 1 1 1 1850
1000 test 28 2 2 1 3652
1000 test 29 2 2 1 2616
1000 test 30 2 2 1 3108
1000 test 31 1 1 1 1948
1000 test 32 2 2 1 2321
1000 test 33 1 1 1 4532
1000 test 34 2 2 1 2836
1000 test 35 1 1 1 2755
1000 test 36 1 1 1 3307
1000 test 37 1 1 1 1643
1000 test 38 1 1 1 4852
1000 test 39 2 2 1 1980
1000 test 40 1 1 1 1468
1000 test 41 2 2 1 1795
1000 test 42 2 2 1 3129
1000 test 43 2 2 1 2755
1000 test 44 1 1 1 2556
1000 test 45 2 2 1 2484
1000 test 46 2 2 1 4347
1000 test 47 2 2 1 1899
1000 test 48 1 1 1 2307
1000 test 49 2 2 1 2571
1000 test 50 2 2 1 2957
1000 test 51 2 2 1 2827
1000 test 52 1 1 1 2173
1000 test 53 2 2 1 2355
1000 test 54 1 1 1 2436
1000 test 55 2 2 1 3083
1000 test 56 1 1 1 3085
1000 test 57 1 1 1 2404
1000 test 58 2 2 1 1832
1000 test 59 1 1 1 2459
1000 test 60 2 2 1 2013
1000 test 61 1 1 1 2428
1000 test 62 2 2 1 2194
1000 test 63 1 1 1 2778
1000 test 64 2 2 1 1403
1000 test 65 1 1 1 2643
1000 test 66 2 2 1 2732
1000 test 67 2 2 1 4509
1000 test 68 2 2 1 1836
1000 test 69 1 1 1 1923
1000 test 70 1 1 1 4372
1000 test 71 1 1 1 2252
1000 test 72 2 2 1 1939
1000 test 73 2 2 1 2203
1000 test 74 1 1 1 3331
1000 test 75 2 2 1 2058
1000 test 76 2 2 1 2908
1000 test 77 1 1 1 4730
1000 test 78 2 2 1 1739
1000 test 79 1 1 1 3147
