pp block trl_number cat_correct resp acc RT
1000 practice 0 2 1 0 1935
1000 practice 0 2 1 0 3085
1000 practice 0 1 1 1 2247
1000 practice 0 1 2 0 2999
1000 test 0 2 1 0 2157
1000 test 1 1 1 1 3890
1000 test 2 1 1 1 5315
1000 test 3 2 2 1 1699
1000 test 4 1 1 1 3758
1000 test 5 1 2 0 6488
1000 test 6 1 1 1 2746
1000 test 7 2 2 1 3933
1000 test 8 1 1 1 1988
1000 test 9 1 1 1 4930
1000 test 10 2 2 1 3105
1000 test 11 1 2 0 6408
1000 test 12 1 2 0 5218
1000 test 13 2 2 1 2905
1000 test 14 1 1 1 2720
1000 test 15 1 1 1 5778
1000 test 16 1 1 1 13351
1000 test 17 2 2 1 10945
1000 test 18 2 2 1 2576
1000 test 19 2 2 1 3322
1000 test 20 1 2 0 5010
1000 test 21 1 1 1 8625
1000 test 22 2 2 1 1713
1000 test 23 2 2 1 1746
1000 test 24 1 1 1 8276
1000 test 25 2 2 1 1536
1000 test 26 2 1 0 8368
1000 test 27 2 2 1 1440
1000 test 28 1 1 1 6168
1000 test 29 1 2 0 1480
1000 test 30 2 2 1 1946
1000 test 31 1 2 0 2025
1000 test 32 2 2 1 2750
1000 test 33 1 2 0 1704
1000 test 34 1 2 0 2367
1000 test 35 2 2 1 1932
1000 test 36 2 2 1 1234
1000 test 37 1 2 0 6936
1000 test 38 1 1 1 2841
1000 test 39 2 2 1 1098
1000 test 40 2 2 1 2889
1000 test 41 2 2 1 3312
1000 test 42 1 2 0 4440
1000 test 43 1 1 1 3757
1000 test 44 2 2 1 2088
1000 test 45 2 2 1 1320
1000 test 46 2 2 1 1017
1000 test 47 2 2 1 2632
1000 test 48 2 2 1 1553
1000 test 49 1 2 0 1379
1000 test 50 2 2 1 1208
1000 test 51 2 2 1 2432
1000 test 52 2 2 1 977
1000 test 53 1 2 0 1088
1000 test 54 1 2 0 1800
1000 test 55 1 2 0 1969
1000 test 56 1 2 0 2273
1000 test 57 2 2 1 2144
1000 test 58 1 1 1 7545
1000 test 59 2 2 1 1466
1000 test 60 1 2 0 2696
1000 test 61 1 2 0 969
1000 test 62 2 2 1 6440
1000 test 63 1 1 1 2944
1000 test 64 2 2 1 1656
1000 test 65 1 2 0 1249
1000 test 66 1 1 1 2465
1000 test 67 2 2 1 997
1000 test 68 1 1 1 3816
1000 test 69 1 2 0 3656
1000 test 70 2 2 1 2792
1000 test 71 2 1 0 1849
1000 test 72 1 2 0 7583
1000 test 73 2 2 1 3543
1000 test 74 1 1 1 9391
1000 test 75 2 2 1 3007
1000 test 76 1 1 1 3110
1000 test 77 2 2 1 5536
1000 test 78 1 1 1 2281
1000 test 79 2 2 1 1985
1000 test 80 1 2 0 3628
1000 test 81 1 2 0 1444
1000 test 82 2 2 1 1761
1000 test 83 2 2 1 3383
1000 test 84 2 2 1 4151
1000 test 85 1 1 1 3833
1000 test 86 2 2 1 1825
1000 test 87 1 1 1 4113
1000 test 88 1 1 1 2841
1000 test 89 1 2 0 1650
1000 test 90 2 2 1 1359
1000 test 91 2 2 1 887
1000 test 92 2 2 1 1480
1000 test 93 2 2 1 929
1000 test 94 2 2 1 881
1000 test 95 1 2 0 1432
1000 test 96 2 1 0 1840
1000 test 97 1 1 1 1560
1000 test 98 2 2 1 1135
1000 test 99 2 1 0 5105
1000 test 100 1 1 1 2248
1001 practice 0 2 2 1 1799
1001 practice 0 2 1 0 3010
1001 practice 0 1 2 0 1850
1001 practice 0 1 2 0 1651
1001 test 0 2 1 0 3474
1001 test 1 1 1 1 1499
1001 test 2 1 1 1 3473
1001 test 3 2 1 0 3687
1001 test 4 1 1 1 3670
1001 test 5 1 1 1 1640
1001 test 6 1 2 0 1775
1001 test 7 2 2 1 1839
1001 test 8 1 2 0 1704
1001 test 9 1 2 0 3992
1001 test 10 2 2 1 1616
1001 test 11 1 2 0 3144
1001 test 12 1 1 1 1816
1001 test 13 2 1 0 1072
1001 test 14 1 1 1 2975
1001 test 15 1 2 0 2080
1001 test 16 1 1 1 3024
1001 test 17 2 2 1 2272
1001 test 18 2 2 1 1183
1001 test 19 2 2 1 1671
1001 test 20 1 1 1 5239
1001 test 21 1 2 0 1696
1001 test 22 2 1 0 3687
1001 test 23 2 2 1 1383
1001 test 24 1 1 1 3463
1001 test 25 2 2 1 1657
1001 test 26 2 2 1 2559
1001 test 27 2 2 1 1095
1001 test 28 1 1 1 4304
1001 test 29 1 2 0 2712
1001 test 30 2 2 1 1407
1001 test 31 1 1 1 5744
1001 test 32 2 2 1 6183
