pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 1054
1000 practice 0 1 1 1 837
1000 practice 0 2 2 1 823
1000 practice 0 2 2 1 991
1000 test 0 2 2 1 790
1000 test 1 1 1 1 837
1000 test 2 1 1 1 877
1000 test 3 2 2 1 813
1000 test 4 1 1 1 990
1000 test 5 1 1 1 1197
1000 test 6 2 2 1 630
1000 test 7 1 1 1 622
1000 test 8 1 1 1 766
1000 test 9 1 1 1 566
1000 test 10 2 2 1 557
1000 test 11 2 2 1 581
1000 test 12 2 2 1 789
1000 test 13 1 1 1 725
1000 test 14 1 1 1 758
1000 test 15 2 2 1 548
1000 test 16 1 1 1 484
1000 test 17 2 2 1 533
1000 test 18 2 2 1 533
1000 test 19 2 2 1 549
1000 test 20 1 1 1 646
1000 test 21 2 2 1 621
1000 test 22 2 2 1 557
1000 test 23 2 2 1 837
1000 test 24 2 2 1 525
1000 test 25 1 1 1 533
1000 test 26 1 1 1 605
1000 test 27 1 2 0 463
1000 test 28 2 2 1 790
1000 test 29 1 1 1 966
1000 test 30 2 2 1 637
1000 test 31 1 1 1 518
1000 test 32 2 2 1 532
1000 test 33 2 2 1 1452
1000 test 34 2 2 1 780
1000 test 35 1 1 1 636
1000 test 36 1 1 1 516
1000 test 37 1 1 1 588
1000 test 38 2 2 1 477
1000 test 39 2 2 1 493
1000 test 40 2 2 1 837
1000 test 41 1 1 1 685
1000 test 42 2 2 1 533
1000 test 43 1 1 1 597
1000 test 44 2 2 1 669
1000 test 45 1 1 1 1725
1000 test 46 1 1 1 598
1000 test 47 2 2 1 509
1000 test 48 2 2 1 975
1000 test 49 1 1 1 1062
1000 test 50 1 1 1 566
1000 test 51 2 2 1 653
1000 test 52 1 2 0 748
1000 test 53 2 2 1 692
1000 test 54 1 1 1 796
1000 test 55 1 1 1 564
1000 test 56 1 1 1 540
1000 test 57 2 2 1 517
1000 test 58 1 1 1 429
1000 test 59 1 1 1 437
1000 test 60 2 2 1 581
1000 test 61 2 2 1 645
1000 test 62 1 1 1 493
1000 test 63 1 1 1 445
1000 test 64 1 1 1 542
1000 test 65 2 2 1 493
1000 test 66 2 2 1 493
1000 test 67 1 1 1 765
1000 test 68 1 1 1 502
1000 test 69 1 1 1 493
1000 test 70 1 2 0 574
1000 test 71 1 1 1 757
1000 test 72 2 2 1 509
1000 test 73 1 1 1 685
1000 test 74 2 2 1 613
1000 test 75 2 2 1 684
1000 test 76 1 1 1 588
1000 test 77 1 1 1 444
1000 test 78 1 1 1 437
1000 test 79 2 2 1 541
1000 test 80 2 2 1 525
1000 test 81 1 1 1 477
1000 test 82 2 2 1 509
1000 test 83 2 2 1 477
1000 test 84 1 1 1 493
1000 test 85 2 2 1 469
1000 test 86 2 2 1 958
1000 test 87 1 1 1 437
1000 test 88 2 2 1 637
1000 test 89 2 2 1 596
1000 test 90 2 2 1 548
1000 test 91 2 2 1 766
1000 test 92 1 1 1 580
1000 test 93 1 1 1 485
1000 test 94 2 2 1 501
1000 test 95 2 2 1 501
1000 test 96 1 1 1 773
1000 test 97 2 2 1 501
1000 test 98 1 1 1 573
1000 test 99 2 2 1 540
1000 test 100 2 2 1 484
1001 practice 0 1 1 1 1351
1001 practice 0 1 1 1 583
1001 practice 0 2 2 1 439
1001 practice 0 2 2 1 478
1001 test 0 2 2 1 559
1001 test 1 1 1 1 517
1001 test 2 1 1 1 478
1001 test 3 2 2 1 494
1001 test 4 1 1 1 473
1001 test 5 1 1 1 517
1001 test 6 2 2 1 517
1001 test 7 1 1 1 461
1001 test 8 1 1 1 509
1001 test 9 1 1 1 485
1001 test 10 2 2 1 478
1001 test 11 2 2 1 549
1001 test 12 2 1 0 492
1001 test 13 1 1 1 701
1001 test 14 1 1 1 573
1001 test 15 2 2 1 669
1001 test 16 1 1 1 830
1001 test 17 2 2 1 661
1001 test 18 2 2 1 669
1001 test 19 2 2 1 557
1001 test 20 1 1 1 565
1001 test 21 2 2 1 620
1001 test 22 2 2 1 716
1001 test 23 2 2 1 621
1001 test 24 2 2 1 492
1001 test 25 1 1 1 557
1001 test 26 1 1 1 580
1001 test 27 1 2 0 605
1001 test 28 2 2 1 701
