pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 4258
1000 practice 0 2 2 1 3410
1000 practice 0 2 2 1 5064
1000 practice 0 1 1 1 3332
1000 test 0 1 1 1 3698
1000 test 1 2 1 0 2614
1000 test 2 1 1 1 4038
1000 test 3 2 2 1 7879
1000 test 4 1 1 1 4280
1000 test 5 1 1 1 6581
1000 test 6 2 2 1 5788
1000 test 7 1 1 1 2905
1000 test 8 2 2 1 2965
1000 test 9 2 2 1 2832
1000 test 10 2 2 1 4312
1000 test 11 2 2 1 4881
1000 test 12 2 2 1 6717
1000 test 13 1 1 1 8191
1000 test 14 1 1 1 4754
1000 test 15 2 2 1 4750
1000 test 16 2 2 1 3742
1000 test 17 2 2 1 4793
1000 test 18 1 1 1 6293
1000 test 19 2 2 1 4164
1000 test 20 2 2 1 4929
1000 test 21 1 1 1 3719
1000 test 22 1 1 1 2797
1000 test 23 1 1 1 2674
1000 test 24 1 1 1 2349
1000 test 25 2 2 1 6262
1000 test 26 1 1 1 3032
1000 test 27 1 1 1 3239
1000 test 28 1 1 1 4491
1000 test 29 1 1 1 2981
1000 test 30 2 2 1 4069
1000 test 31 2 2 1 5273
1000 test 32 1 1 1 2412
1000 test 33 1 1 1 3051
1000 test 34 1 1 1 2565
1000 test 35 2 2 1 4468
1000 test 36 1 1 1 4708
1000 test 37 2 2 1 6568
1000 test 38 2 2 1 3249
1000 test 39 2 2 1 9588
1000 test 40 2 2 1 4325
1000 test 41 1 1 1 2797
1000 test 42 2 2 1 3204
1000 test 43 2 2 1 3719
1000 test 44 1 1 1 2429
1000 test 45 2 2 1 2702
1000 test 46 1 1 1 5135
1000 test 47 1 1 1 4981
1000 test 48 1 1 1 8208
1000 test 49 1 1 1 3837
1000 test 50 2 2 1 5796
1000 test 51 2 2 1 6101
1000 test 52 2 2 1 6596
1000 test 53 2 2 1 3637
1000 test 54 1 1 1 4165
1000 test 55 1 1 1 2165
1000 test 56 1 1 1 3803
1000 test 57 1 1 1 5260
1000 test 58 1 1 1 4431
1000 test 59 1 1 1 6950
1000 test 60 1 1 1 9000
1000 test 61 2 2 1 6261
1000 test 62 2 2 1 9046
1000 test 63 1 1 1 2984
1000 test 64 2 2 1 4774
1000 test 65 2 2 1 5118
1000 test 66 1 1 1 2274
1000 test 67 2 2 1 3273
1000 test 68 2 2 1 3551
