pp block trl_number cat_correct resp acc RT
1001 test 100 2 1 0 645
1002 practice 0 1 1 1 1405
1002 practice 0 2 2 1 1316
1002 practice 0 2 2 1 718
1002 practice 0 1 1 1 1255
1002 test 0 1 1 1 598
1002 test 1 2 2 1 845
1002 test 2 1 1 1 599
1002 test 3 2 2 1 1022
1002 test 4 1 1 1 645
1002 test 5 1 1 1 541
1002 test 6 2 2 1 782
1002 test 7 1 1 1 645
1002 test 8 2 2 1 623
1002 test 9 2 2 1 743
1002 test 10 2 2 1 1183
1002 test 11 1 1 1 1989
1002 test 12 1 1 1 711
1002 test 13 2 2 1 733
1002 test 14 1 1 1 709
1002 test 15 1 1 1 646
1002 test 16 1 1 1 525
1002 test 17 1 1 1 526
1002 test 18 1 1 1 501
1002 test 19 2 2 1 622
1002 test 20 2 2 1 653
1002 test 21 2 2 1 701
1002 test 22 2 2 1 830
1002 test 23 1 1 1 830
1002 test 24 2 2 1 630
1002 test 25 2 2 1 925
1002 test 26 1 1 1 669
1002 test 27 1 1 1 583
1002 test 28 2 2 1 830
1002 test 29 1 1 1 742
1002 test 30 2 2 1 718
1002 test 31 2 2 1 814
1002 test 32 1 1 1 614
1002 test 33 1 1 1 1077
1002 test 34 1 1 1 685
1002 test 35 1 1 1 741
1002 test 36 1 1 1 550
1002 test 37 2 2 1 671
1002 test 38 2 2 1 887
1002 test 39 2 2 1 687
1002 test 40 2 2 1 654
1002 test 41 1 1 1 646
1002 test 42 2 2 1 734
1002 test 43 1 1 1 606
1002 test 44 1 1 1 749
1002 test 45 1 1 1 638
1002 test 46 1 1 1 654
1002 test 47 2 2 1 693
1002 test 48 1 1 1 676
1002 test 49 2 2 1 630
1002 test 50 1 1 1 582
1002 test 51 2 2 1 870
1002 test 52 2 2 1 582
1002 test 53 2 2 1 845
1002 test 54 1 1 1 869
1002 test 55 1 1 1 566
1002 test 56 2 2 1 821
1002 test 57 1 1 1 685
1002 test 58 2 2 1 1198
1002 test 59 2 2 1 838
1002 test 60 2 2 1 758
1002 test 61 1 1 1 710
1002 test 62 2 2 1 759
1002 test 63 1 1 1 622
1002 test 64 1 1 1 623
1002 test 65 2 2 1 646
1002 test 66 1 1 1 629
1002 test 67 2 2 1 740
1002 test 68 2 2 1 702
1002 test 69 1 1 1 621
1002 test 70 1 1 1 622
1002 test 71 1 1 1 557
1002 test 72 2 2 1 589
1002 test 73 2 2 1 709
1002 test 74 1 1 1 518
1002 test 75 1 1 1 638
1002 test 76 1 2 0 1014
1002 test 77 1 1 1 926
1002 test 78 2 2 1 703
1002 test 79 2 2 1 958
1002 test 80 2 2 1 1015
1002 test 81 2 2 1 831
1002 test 82 1 1 1 646
1002 test 83 2 2 1 645
1002 test 84 2 2 1 654
1002 test 85 1 1 1 870
1002 test 86 2 2 1 606
1002 test 87 1 1 1 1030
1002 test 88 2 2 1 751
1002 test 89 2 2 1 734
1002 test 90 1 1 1 685
1002 test 91 2 2 1 742
1002 test 92 2 2 1 1390
1002 test 93 2 2 1 1197
1002 test 94 2 2 1 647
1002 test 95 1 1 1 558
1002 test 96 1 1 1 782
1002 test 97 1 1 1 654
1002 test 98 1 1 1 573
1002 test 99 1 1 1 660
1002 test 100 2 2 1 726
1003 practice 0 1 1 1 21709
1003 practice 0 2 2 1 8886
1003 practice 0 2 2 1 1759
1003 practice 0 1 1 1 2446
