pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 951
1000 practice 0 2 2 1 784
1000 practice 0 2 2 1 1935
1000 practice 0 1 1 1 759
1000 test 0 2 2 1 1942
1000 test 1 1 1 1 654
1000 test 2 2 2 1 1405
1000 test 3 1 1 1 781
1000 test 4 1 1 1 1478
1000 test 5 2 2 1 1477
1000 test 6 2 2 1 1053
1000 test 7 2 2 1 782
1000 test 8 1 1 1 790
1000 test 9 1 1 1 1430
1000 test 10 2 2 1 678
1000 test 11 2 2 1 1229
1000 test 12 1 1 1 941
1000 test 13 2 2 1 725
1000 test 14 2 2 1 1100
1000 test 15 2 2 1 869
1000 test 16 2 2 1 692
1000 test 17 1 1 1 637
1000 test 18 2 2 1 1245
1000 test 19 1 1 1 1237
1000 test 20 2 2 1 1093
1000 test 21 1 1 1 701
1000 test 22 2 2 1 1165
1000 test 23 2 2 1 702
1000 test 24 2 2 1 933
1000 test 25 2 2 1 646
1000 test 26 2 2 1 598
1000 test 27 2 2 1 1815
1000 test 28 1 1 1 621
1000 test 29 1 1 1 1573
1000 test 30 1 1 1 621
1000 test 31 1 1 1 1134
1000 test 32 2 2 1 717
1000 test 33 2 2 1 1141
1000 test 34 1 1 1 606
1000 test 35 1 1 1 685
1000 test 36 1 1 1 629
1000 test 37 1 1 1 1061
1000 test 38 2 2 1 725
1000 test 39 1 1 1 573
1000 test 40 1 1 1 638
1000 test 41 1 1 1 950
1000 test 42 2 2 1 749
1000 test 43 2 2 1 726
1000 test 44 2 2 1 812
1000 test 45 1 1 1 781
1000 test 46 1 1 1 789
1000 test 47 1 1 1 637
1000 test 48 2 2 1 806
1000 test 49 2 2 1 662
1000 test 50 2 2 1 725
1000 test 51 2 2 1 693
1000 test 52 2 2 1 534
1000 test 53 1 1 1 582
1000 test 54 1 1 1 797
1000 test 55 1 1 1 646
1000 test 56 1 1 1 582
1000 test 57 2 2 1 733
1000 test 58 1 1 1 861
1000 test 59 1 1 1 549
1000 test 60 2 2 1 725
1000 test 61 2 2 1 829
1000 test 62 2 2 1 717
1000 test 63 2 2 1 892
1000 test 64 2 2 1 1084
1000 test 65 2 2 1 700
1000 test 66 2 2 1 645
1000 test 67 1 1 1 1389
1000 test 68 1 1 1 965
1000 test 69 1 1 1 693
1000 test 70 1 1 1 813
1000 test 71 2 2 1 1349
1000 test 72 2 2 1 693
1000 test 73 1 1 1 710
1000 test 74 1 1 1 838
1000 test 75 2 2 1 711
1000 test 76 1 1 1 638
1000 test 77 1 1 1 1501
1000 test 78 2 2 1 629
1000 test 79 2 2 1 685
1000 test 80 1 1 1 669
1000 test 81 2 2 1 629
1000 test 82 1 1 1 604
1000 test 83 2 2 1 614
1000 test 84 1 1 1 573
1000 test 85 2 2 1 1197
1000 test 86 1 1 1 629
1000 test 87 2 2 1 725
1000 test 88 1 1 1 573
1000 test 89 1 1 1 926
1000 test 90 2 2 1 685
1000 test 91 1 1 1 574
1000 test 92 2 2 1 621
1000 test 93 1 1 1 542
1000 test 94 1 1 1 678
1000 test 95 1 1 1 478
1000 test 96 1 1 1 526
1000 test 97 2 2 1 662
1000 test 98 1 1 1 534
1000 test 99 1 1 1 734
1000 test 100 2 2 1 693
1001 practice 0 1 1 1 2101
1001 practice 0 2 2 1 741
1001 practice 0 2 2 1 1518
1001 practice 0 1 1 1 760
1001 test 0 2 2 1 687
1001 test 1 1 1 1 733
1001 test 2 2 2 1 557
1001 test 3 1 1 1 621
1001 test 4 1 1 1 1261
1001 test 5 2 2 1 830
1001 test 6 2 2 1 622
1001 test 7 2 2 1 614
1001 test 8 1 1 1 541
1001 test 9 1 1 1 1198
1001 test 10 2 2 1 653
1001 test 11 2 2 1 1237
1001 test 12 1 1 1 685
1001 test 13 2 2 1 621
1001 test 14 2 2 1 701
1001 test 15 2 2 1 765
1001 test 16 2 2 1 573
1001 test 17 1 1 1 557
