pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 922
1000 practice 0 2 2 1 942
1000 practice 0 2 2 1 925
1000 practice 0 1 1 1 879
1000 test 0 1 1 1 749
1000 test 1 2 2 1 892
1000 test 2 1 1 1 763
1000 test 3 1 1 1 763
1000 test 4 2 2 1 650
1000 test 5 2 2 1 756
1000 test 6 2 2 1 674
1000 test 7 1 1 1 595
1000 test 8 1 1 1 691
1000 test 9 2 2 1 836
1000 test 10 1 1 1 732
1000 test 11 1 1 1 754
1000 test 12 2 2 1 722
1000 test 13 1 1 1 658
1000 test 14 1 1 1 866
1000 test 15 2 2 1 1114
1000 test 16 2 2 1 828
1000 test 17 2 2 1 852
1000 test 18 1 1 1 652
1000 test 19 1 1 1 715
1000 test 20 2 2 1 1171
1000 test 21 2 2 1 804
1000 test 22 2 2 1 740
1000 test 23 1 1 1 812
1000 test 24 2 2 1 746
1000 test 25 2 2 1 923
1000 test 26 2 2 1 868
1000 test 27 1 1 1 698
1000 test 28 2 2 1 732
1000 test 29 1 1 1 1315
1000 test 30 2 2 1 852
1000 test 31 1 1 1 844
1000 test 32 1 1 1 1163
1000 test 33 1 1 1 1092
1000 test 34 2 2 1 1019
1000 test 35 2 2 1 1004
1000 test 36 2 2 1 868
1000 test 37 1 1 1 692
1000 test 38 1 1 1 860
1000 test 39 1 1 1 668
1000 test 40 2 2 1 859
1000 test 41 1 1 1 778
1000 test 42 2 2 1 892
1000 test 43 1 1 1 779
1000 test 44 1 1 1 635
1000 test 45 1 1 1 747
1000 test 46 2 2 1 1188
1000 test 47 1 1 1 819
1000 test 48 1 1 1 939
1000 test 49 2 2 1 1220
1000 test 50 2 2 1 859
1000 test 51 2 2 1 1179
1000 test 52 1 1 1 779
1000 test 53 1 1 1 603
1000 test 54 2 2 1 835
1000 test 55 2 2 1 1405
1000 test 56 1 1 1 915
1000 test 57 1 1 1 723
1000 test 58 1 1 1 779
1000 test 59 2 2 1 891
1000 test 60 2 2 1 802
1000 test 61 1 1 1 730
1000 test 62 1 1 1 755
1000 test 63 2 2 1 1043
1000 test 64 1 1 1 970
1000 test 65 2 2 1 948
1000 test 66 2 2 1 852
1000 test 67 1 1 1 980
1000 test 68 2 2 1 892
1000 test 69 2 2 1 875
1000 test 70 2 2 1 1020
1000 test 71 1 1 1 1141
1000 test 72 1 1 1 788
1000 test 73 2 2 1 748
1000 test 74 1 1 1 691
1000 test 75 2 2 1 706
1000 test 76 1 1 1 1171
1000 test 77 2 2 1 786
1000 test 78 1 1 1 794
1000 test 79 1 1 1 794
1000 test 80 2 2 1 812
1000 test 81 2 2 1 866
1000 test 82 1 1 1 693
1000 test 83 2 2 1 900
1000 test 84 1 1 1 660
1000 test 85 1 1 1 772
1000 test 86 2 2 1 764
1000 test 87 2 2 1 731
1000 test 88 1 1 1 795
1000 test 89 2 2 1 749
1000 test 90 1 1 1 675
1000 test 91 2 2 1 1260
1000 test 92 2 2 1 796
1000 test 93 2 2 1 723
1000 test 94 1 1 1 852
1000 test 95 1 1 1 867
1000 test 96 2 2 1 1074
1000 test 97 1 1 1 827
1000 test 98 2 2 1 859
1000 test 99 1 1 1 691
1000 test 100 1 1 1 674
1001 practice 0 1 1 1 684
1001 practice 0 2 2 1 663
1001 practice 0 2 2 1 549
1001 practice 0 1 1 1 470
1001 test 0 1 1 1 596
1001 test 1 2 2 1 779
1001 test 2 1 1 1 612
1001 test 3 1 1 1 595
1001 test 4 2 2 1 507
1001 test 5 2 2 1 627
1001 test 6 2 2 1 490
1001 test 7 1 1 1 508
1001 test 8 1 1 1 467
1001 test 9 2 2 1 666
1001 test 10 1 1 1 690
1001 test 11 1 1 1 611
1001 test 12 2 2 1 642
1001 test 13 1 1 1 491
1001 test 14 1 1 1 523
1001 test 15 2 2 1 563
1001 test 16 2 2 1 499
1001 test 17 2 2 1 507
1001 test 18 1 1 1 467
1001 test 19 1 1 1 458
1001 test 20 2 2 1 579
1001 test 21 2 2 1 459
1001 test 22 2 2 1 579
1001 test 23 1 2 0 484
1001 test 24 2 2 1 619
1001 test 25 2 2 1 627
1001 test 26 2 2 1 604
1001 test 27 1 1 1 627
1001 test 28 2 2 1 596
1001 test 29 1 1 1 507
1001 test 30 2 2 1 515
1001 test 31 1 1 1 476
1001 test 32 1 1 1 667
1001 test 33 1 1 1 722
1001 test 34 2 2 1 658
1001 test 35 2 2 1 611
1001 test 36 2 2 1 626
1001 test 37 1 1 1 506
1001 test 38 1 1 1 714
1001 test 39 1 1 1 482
1001 test 40 2 2 1 524
1001 test 41 1 1 1 596
1001 test 42 2 1 0 532
1001 test 43 1 1 1 547
1001 test 44 1 1 1 571
1001 test 45 1 1 1 635
1001 test 46 2 2 1 524
1001 test 47 1 1 1 563
1001 test 48 1 1 1 795
1001 test 49 2 2 1 618
