pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 780
1000 practice 0 2 2 1 1645
1000 practice 0 2 2 1 2118
1000 practice 0 1 1 1 846
1000 test 0 1 1 1 733
1000 test 1 2 2 1 1004
1000 test 2 2 2 1 1076
1000 test 3 1 1 1 596
1000 test 4 1 1 1 621
1000 test 5 2 2 1 804
1000 test 6 1 1 1 690
1000 test 7 1 1 1 651
1000 test 8 1 1 1 730
1000 test 9 1 1 1 556
1000 test 10 1 1 1 812
1000 test 11 2 2 1 747
1000 test 12 1 1 1 755
1000 test 13 2 2 1 740
1000 test 14 1 1 1 908
1000 test 15 2 2 1 788
1000 test 16 1 1 1 843
1000 test 17 2 1 0 748
1000 test 18 1 1 1 996
1000 test 19 2 2 1 1348
1000 test 20 2 2 1 1012
1000 test 21 2 2 1 732
1000 test 22 1 1 1 724
1000 test 23 1 1 1 1292
1000 test 24 1 1 1 1692
1000 test 25 2 2 1 868
1000 test 26 2 2 1 2421
1000 test 27 2 2 1 827
1000 test 28 1 1 1 644
1000 test 29 1 1 1 684
1000 test 30 1 1 1 692
1000 test 31 1 1 1 837
1000 test 32 2 2 1 811
1000 test 33 1 1 1 757
1000 test 34 2 2 1 805
1000 test 35 1 1 1 1020
1000 test 36 1 1 1 772
1000 test 37 2 2 1 819
1000 test 38 1 1 1 764
1000 test 39 2 2 1 1564
1000 test 40 2 2 1 875
1000 test 41 1 1 1 668
1000 test 42 2 2 1 1436
1000 test 43 2 2 1 1572
1000 test 44 2 2 1 756
1000 test 45 2 2 1 1020
1000 test 46 1 1 1 644
1000 test 47 2 2 1 1211
1000 test 48 1 1 1 1149
1000 test 49 2 2 1 1076
1000 test 50 1 1 1 1437
1000 test 51 2 2 1 821
1000 test 52 1 1 1 1037
1000 test 53 1 1 1 588
1000 test 54 1 1 1 860
1000 test 55 2 2 1 805
1000 test 56 1 1 1 722
1000 test 57 1 1 1 650
1000 test 58 2 2 1 1124
1000 test 59 1 1 1 708
1000 test 60 1 1 1 1116
1000 test 61 2 2 1 820
1000 test 62 2 2 1 1204
1000 test 63 1 1 1 755
1000 test 64 1 1 1 980
1000 test 65 1 1 1 611
1000 test 66 2 2 1 805
1000 test 67 2 2 1 1380
1000 test 68 2 2 1 924
1000 test 69 2 2 1 1405
1000 test 70 1 1 1 661
1000 test 71 2 2 1 828
1000 test 72 2 2 1 867
1000 test 73 2 2 1 924
1000 test 74 1 1 1 627
1000 test 75 2 2 1 747
1000 test 76 1 1 1 643
1000 test 77 1 1 1 699
1000 test 78 2 2 1 779
1000 test 79 2 2 1 692
1000 test 80 1 1 1 796
1000 test 81 2 2 1 1059
1000 test 82 2 2 1 828
1000 test 83 2 2 1 675
1000 test 84 2 2 1 740
1000 test 85 1 1 1 667
1000 test 86 1 1 1 1148
1000 test 87 2 2 1 844
1000 test 88 1 1 1 717
1000 test 89 2 2 1 901
1000 test 90 2 2 1 757
1000 test 91 1 1 1 612
1000 test 92 1 1 1 1116
1000 test 93 1 1 1 652
1000 test 94 2 2 1 828
1000 test 95 1 1 1 755
1000 test 96 2 2 1 683
1000 test 97 2 2 1 1323
1000 test 98 2 2 1 1099
1000 test 99 1 1 1 780
1000 test 100 1 1 1 940
1001 practice 0 1 1 1 1036
1001 practice 0 2 2 1 750
1001 practice 0 2 2 1 1422
1001 practice 0 1 1 1 747
1001 test 0 1 1 1 597
1001 test 1 2 2 1 697
1001 test 2 2 2 1 1307
1001 test 3 1 1 1 619
1001 test 4 1 1 1 675
1001 test 5 2 2 1 668
1001 test 6 1 1 1 947
1001 test 7 1 1 1 940
1001 test 8 1 1 1 722
1001 test 9 1 1 1 972
1001 test 10 1 1 1 684
1001 test 11 2 2 1 668
1001 test 12 1 1 1 732
1001 test 13 2 2 1 691
1001 test 14 1 2 0 1492
1001 test 15 2 2 1 1100
1001 test 16 1 1 1 1140
1001 test 17 2 2 1 987
1001 test 18 1 1 1 1436
1001 test 19 2 2 1 1069
1001 test 20 2 2 1 843
1001 test 21 2 2 1 707
1001 test 22 1 1 1 772
1001 test 23 1 2 0 1483
1001 test 24 1 1 1 1715
1001 test 25 2 2 1 948
1001 test 26 2 2 1 1011
1001 test 27 2 2 1 859
1001 test 28 1 1 1 635
1001 test 29 1 1 1 748
1001 test 30 1 1 1 763
1001 test 31 1 1 1 628
1001 test 32 2 2 1 820
1001 test 33 1 1 1 939
1001 test 34 2 2 1 780
1001 test 35 1 1 1 828
1001 test 36 1 1 1 732
1001 test 37 2 2 1 781
1001 test 38 1 1 1 915
1001 test 39 2 2 1 1188
1001 test 40 2 2 1 1172
1001 test 41 1 1 1 724
1001 test 42 2 2 1 747
1001 test 43 2 2 1 3052
1001 test 44 2 2 1 1004
1001 test 45 2 2 1 1445
1001 test 46 1 2 0 1363
1001 test 47 2 2 1 964
1001 test 48 1 1 1 740
1001 test 49 2 2 1 1132
1001 test 50 1 1 1 932
1001 test 51 2 2 1 947
1001 test 52 1 1 1 964
1001 test 53 1 1 1 876
1001 test 54 1 1 1 1036
1001 test 55 2 2 1 828
1001 test 56 1 1 1 908
1001 test 57 1 1 1 772
1001 test 58 2 2 1 708
1001 test 59 1 1 1 587
1001 test 60 1 1 1 716
1001 test 61 2 2 1 1107
1001 test 62 2 2 1 684
1001 test 63 1 1 1 691
1001 test 64 1 1 1 627
1001 test 65 1 1 1 1019
1001 test 66 2 2 1 988
1001 test 67 2 2 1 1219
1001 test 68 2 2 1 668
1001 test 69 2 2 1 1076
1001 test 70 1 1 1 820
1001 test 71 2 2 1 1180
1001 test 72 2 2 1 916
1001 test 73 2 2 1 668
1001 test 74 1 1 1 612
1001 test 75 2 2 1 949
1001 test 76 1 1 1 756
1001 test 77 1 1 1 732
1001 test 78 2 2 1 812
1001 test 79 2 2 1 988
1001 test 80 1 1 1 660
1001 test 81 2 2 1 725
1001 test 82 2 2 1 675
1001 test 83 2 2 1 747
1001 test 84 2 2 1 1092
1001 test 85 1 1 1 860
1001 test 86 1 1 1 740
