pp block trl_number cat_correct resp acc RT
1000 practice 0 2 2 1 4536
1000 practice 0 2 2 1 3192
1000 practice 0 1 1 1 1879
1000 practice 0 1 1 1 2350
1000 test 0 2 2 1 2537
1000 test 1 1 1 1 2813
1000 test 2 2 2 1 2846
1000 test 3 1 1 1 1974
1000 test 4 2 2 1 7115
1000 test 5 2 2 1 5181
1000 test 6 2 2 1 1620
1000 test 7 2 2 1 5566
1000 test 8 1 1 1 1582
1000 test 9 1 1 1 2982
1000 test 10 2 2 1 1605
1000 test 11 1 1 1 2398
1000 test 12 2 2 1 2621
1000 test 13 2 2 1 1484
1000 test 14 1 1 1 1484
1000 test 15 1 1 1 1317
1000 test 16 2 2 1 2428
1000 test 17 2 2 1 2189
1000 test 18 1 1 1 2549
1000 test 19 2 2 1 1669
1000 test 20 1 2 0 4886
1000 test 21 1 1 1 1605
1000 test 22 2 2 1 7614
1000 test 23 1 1 1 6924
1000 test 24 2 1 0 1142
1000 test 25 1 1 1 1886
1000 test 26 2 2 1 4165
1000 test 27 1 1 1 1461
1000 test 28 2 2 1 8124
1000 test 29 1 1 1 1628
1000 test 30 1 1 1 3509
1000 test 31 2 2 1 2469
1000 test 32 1 1 1 1901
1000 test 33 2 2 1 1621
1000 test 34 1 1 1 1469
1000 test 35 2 2 1 1445
1000 test 36 1 1 1 2709
1000 test 37 1 1 1 1677
1000 test 38 2 2 1 6469
1000 test 39 2 1 0 1391
1000 test 40 2 1 0 1109
1000 test 41 2 2 1 2533
1000 test 42 1 1 1 1108
1000 test 43 2 2 1 1676
1000 test 44 2 2 1 4709
1000 test 45 1 1 1 2149
1000 test 46 1 1 1 1789
1000 test 47 1 1 1 1157
1000 test 48 2 2 1 2885
1000 test 49 1 1 1 3068
1000 test 50 2 2 1 6006
1000 test 51 1 1 1 1181
1000 test 52 1 1 1 2885
1000 test 53 2 2 1 1756
1000 test 54 2 2 1 9525
1000 test 55 1 1 1 1317
1000 test 56 2 2 1 2196
1000 test 57 1 1 1 2021
1000 test 58 1 1 1 2269
1000 test 59 2 2 1 3397
1000 test 60 1 1 1 2781
1000 test 61 2 2 1 1686
1000 test 62 2 2 1 1317
1000 test 63 1 1 1 4317
1000 test 64 1 1 1 1748
1000 test 65 1 1 1 1182
1000 test 66 2 2 1 3684
1000 test 67 1 1 1 3916
1000 test 68 2 2 1 2061
1000 test 69 1 1 1 2918
1000 test 70 2 2 1 4389
1000 test 71 2 2 1 2454
1000 test 72 1 1 1 2213
1000 test 73 1 1 1 2045
1000 test 74 1 1 1 1156
1000 test 75 2 2 1 5381
