pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 1268
1000 practice 0 2 2 1 942
1000 practice 0 2 2 1 1254
1000 practice 0 1 1 1 860
1000 test 0 2 2 1 934
1000 test 1 1 1 1 804
1000 test 2 1 1 1 964
1000 test 3 2 2 1 692
1000 test 4 1 2 0 765
1000 test 5 2 2 1 917
1000 test 6 2 2 1 797
1000 test 7 1 1 1 949
1000 test 8 1 1 1 901
1000 test 9 1 1 1 799
1000 test 10 1 1 1 685
1000 test 11 2 2 1 773
1000 test 12 2 2 1 780
1000 test 13 2 2 1 829
1000 test 14 1 1 1 789
1000 test 15 2 2 1 773
1000 test 16 1 1 1 845
1000 test 17 2 2 1 637
1000 test 18 2 2 1 732
1000 test 19 2 2 1 1286
1000 test 20 2 2 1 780
1000 test 21 1 1 1 720
1000 test 22 1 2 0 853
1000 test 23 1 1 1 821
1000 test 24 2 2 1 725
1000 test 25 2 2 1 1101
1000 test 26 1 1 1 709
1000 test 27 2 2 1 1133
1000 test 28 2 2 1 957
1000 test 29 1 1 1 943
1000 test 30 2 2 1 1362
1000 test 31 1 1 1 1021
1000 test 32 1 1 1 709
1000 test 33 2 2 1 780
1000 test 34 2 2 1 756
1000 test 35 2 2 1 812
1000 test 36 2 2 1 876
1000 test 37 1 1 1 788
1000 test 38 2 2 1 780
1000 test 39 2 2 1 1069
1000 test 40 2 2 1 1508
1000 test 41 2 2 1 1093
1000 test 42 1 1 1 725
1000 test 43 1 1 1 629
1000 test 44 2 2 1 1073
1000 test 45 1 1 1 693
1000 test 46 2 2 1 853
1000 test 47 2 2 1 813
1000 test 48 2 2 1 846
1000 test 49 1 1 1 670
1000 test 50 2 2 1 765
1000 test 51 1 1 1 684
1000 test 52 1 1 1 612
1000 test 53 1 1 1 1093
1000 test 54 1 1 1 756
1000 test 55 2 2 1 828
1000 test 56 2 2 1 932
1000 test 57 1 1 1 655
1000 test 58 2 2 1 781
1000 test 59 1 1 1 820
1000 test 60 2 2 1 901
1000 test 61 2 2 1 1085
1000 test 62 2 2 1 757
1000 test 63 1 1 1 621
1000 test 64 1 1 1 797
1000 test 65 2 2 1 909
1000 test 66 2 2 1 925
1000 test 67 2 2 1 861
1000 test 68 1 1 1 654
1000 test 69 2 2 1 725
1000 test 70 1 1 1 741
1000 test 71 2 2 1 732
1000 test 72 1 1 1 668
1000 test 73 1 1 1 724
1000 test 74 1 1 1 1149
1000 test 75 1 1 1 732
1000 test 76 1 1 1 1900
